herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Radical scavenging activity,5.55,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Radical scavenging activity,5.54,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Seed linoleate 13S-lipoxygenase-1,5.52,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,5-lipoxygenase,5.52,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Unchecked,5.48,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Polyunsaturated fatty acid 5-lipoxygenase,5.54,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Radical scavenging activity,5.52,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,caffeic acid,Polyunsaturated fatty acid 5-lipoxygenase,5.52,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16,1,77,4,3,0.14
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Histone deacetylase,6.87,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>160,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Mus musculus,6.7,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>161,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Human immunodeficiency virus type 1 integrase,4.5,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>163,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Radical scavenging activity,4.4,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>164,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Human immunodeficiency virus type 1 integrase,4.34,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>165,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Human immunodeficiency virus type 1 integrase,4.24,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>166,9,6,0.09
Lonicera japonica,金银花,Jin Yin Hua,cold,chlorogenic acid,Human immunodeficiency virus type 1 integrase,4.06,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.31,0,>167,9,6,0.09
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,GABA-A receptor; anion channel,6.04,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,Monoamine oxidase,5.8,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,GABA-A receptor; anion channel,5.52,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,HT-29,5.51,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,Cyclin-dependent kinase 5/CDK5 activator 1,5.51,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,SGC-7901,5.24,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,Cyclin-dependent kinase 6,5.22,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,Cyclin-dependent kinase 1/cyclin B,5.15,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,ADMET,4.88,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,Lactoylglutathione lyase,4.08,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,"Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha",5.87,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,"Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha",5.8,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,NON-PROTEIN TARGET,5.16,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,NON-PROTEIN TARGET,5.12,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,AGS,4.99,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,Plasmodium falciparum,4.9,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,AGS,4.87,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
